Strike,Bid,Ask,Last,Volm
6400,0,0,3078,0
6600,0,0,2911,0
6800,0,0,2748,0
7000,2572,2651,2589,0
7200,2410,2491,2434,0
7400,2253,2336,2285,0
7600,2102,2186,2140,0
7800,1956,2043,2000,0
8000,1817,1905,1866,0
8200,1653,1772,1713,0
8400,1530,1648,1589,0
8600,1425,1520,1473,0
8800,1316,1411,1364,0
9000,1238,1275,1257,0
9200,1144,1180,1162,0
9400,1056,1091,1074,0
9600,974,1009,992,0
9800,898,933,916,0
10000,828,863,846,0
10200,764,798,781,0
10400,705,738,722,0
10600,650,683,667,0
10800,600,632,616,0
11000,554,586,570,0
11200,512,544,528,0
11400,473,504,489,0
11600,437,468,453,0
11800,404,434,419,0
12000,374,402,388,0
