Strike,Bid,Ask,Last,Volm
6400,0,0,27,0
6600,32,71,37,0
6700,0,0,44,0
6800,0,0,51,0
6900,47,86,58,0
7000,0,0,67,0
7100,67,106,77,0
7200,76,115,88,0
7300,87,126,100,0
7400,98,137,114,0
7500,111,150,129,0
7600,125,164,145,0
7700,140,179,162,0
7800,180,191,186,0
7900,199,211,205,0
8000,219,231,225,0
8100,240,253,247,0
8200,262,277,270,0
8300,288,305,297,0
8400,319,334,327,140
8500,348,364,356,0
8600,381,398,390,0
8700,419,435,427,0
8800,457,476,467,0
8900,499,519,509,0
9000,540,566,553,0
9100,597,615,606,0
9200,648,667,658,0
9300,700,720,710,0
9400,705,810,758,0
9500,822,836,829,0
9600,884,898,891,0
9700,948,966,957,0
9800,0,0,1023,0
9900,0,0,1091,0
10000,0,0,1162,0
10100,0,0,1234,0
10200,0,0,1308,0
10300,0,0,1383,0
10400,0,0,1461,0
10500,0,0,1539,0
10600,0,0,1619,0
10700,0,0,1701,0
10800,0,0,1783,0
10900,0,0,1867,0
11000,0,0,1952,0
11100,0,0,2038,0
11200,2043,2152,2124,0
11300,2131,2240,2212,0
11400,2220,2329,2301,0
11500,2309,2418,2390,0
11600,2399,2508,2480,0
11700,0,0,2571,0
11800,0,0,2663,0
12000,0,0,2847,0
