Strike,Ticker,Bid,Ask,Last,Volm
6400,HSCEI 6/27 P6400,180,197,177,0
6600,HSCEI 6/27 P6600,207,225,211,0
6800,HSCEI 6/27 P6800,237,258,248,0
7000,HSCEI 6/27 P7000,271,294,283,0
7200,HSCEI 6/27 P7200,308,331,320,0
7400,HSCEI 6/27 P7400,352,376,367,0
7600,HSCEI 6/27 P7600,403,427,421,0
7800,HSCEI 6/27 P7800,459,486,479,0
8000,HSCEI 6/27 P8000,521,550,543,0
8200,HSCEI 6/27 P8200,590,628,612,0
8400,HSCEI 6/27 P8400,666,705,686,0
8600,HSCEI 6/27 P8600,749,778,765,0
8800,HSCEI 6/27 P8800,839,872,856,0
9000,HSCEI 6/27 P9000,937,970,954,0
9200,HSCEI 6/27 P9200,1041,1075,1058,0
9400,HSCEI 6/27 P9400,1153,1187,1170,0
9600,HSCEI 6/27 P9600,1271,1305,1288,0
9800,HSCEI 6/27 P9800,1395,1436,1416,0
10000,HSCEI 6/27 P10000,1522,1560,1541,0
10200,HSCEI 6/27 P10200,1660,1706,1683,0
10400,HSCEI 6/27 P10400,1800,1843,1822,0
10600,HSCEI 6/27 P10600,1899,1987,1971,0
10800,HSCEI 6/27 P10800,2048,2136,2120,0
11000,HSCEI 6/27 P11000,2202,2289,2273,0
11200,HSCEI 6/27 P11200,2359,2446,2430,0
11400,HSCEI 6/27 P11400,2519,2606,2589,0
11600,HSCEI 6/27 P11600,2682,2769,2752,0
11800,HSCEI 6/27 P11800,0,0,2918,0
12000,HSCEI 6/27 P12000,0,0,3086,0
