Strike,Bid,Ask,Last,Volm
410,122.3499985,241.0500031,176.0500031,1
420,112.75,234.8999939,169.5,1
430,103.1500015,229.8999939,162.4499969,0
440,93.55000305,224.9499969,153.9499969,0
450,84,220,145.5,0
460,74.40000153,215.1499939,135.1499939,1
470,64.80000305,210.3000031,128.8999939,0
480,55.20000076,205.8999939,120.25,1
490,45.65000153,202.3500061,113.0500031,1
500,36.25,198.9499969,106.1500015,1
510,27.14999962,194.8000031,101.0500031,0
520,18.89999962,190.6999969,95.19999695,0
530,11.85000038,186.6499939,89.34999847,0
540,6.630000114,182.6499939,83.55000305,0
550,3.25,176.5,78.25,0
560,1.340000033,170.5500031,73.5,0
570,0.49000001,165.3999939,68.75,0
580,0.150000006,160.3000031,64.05000305,0
590,0.039999999,155.0500031,59.59999847,0
600,0.02,149.8999939,55.90000153,0
610,0.02,144.6499939,52.29999924,0
620,0.02,139.3999939,48.65000153,0
630,0.02,134.0500031,45.04999924,0
640,0.02,128.8000031,41.95000076,0
650,0.02,122.75,39.29999924,0
660,0.02,119,36.65000153,0
670,0.02,116,34.04999924,0
680,0.02,112.9000015,31.45000076,0
690,24,109.8499985,29.14999962,2
700,22.10000038,106.8000031,27.10000038,0
