Strike,Bid,Ask,Last,Volm
407.5,0.029999997,0.039999999,0.030000001,157
410,0.030000001,0.039999999,0.039999999,902
412.5,0.030000001,0.050000001,0.039999999,498
415,0.039999999,0.050000001,0.039999999,252
417.5,0.039999999,0.050000001,0.039999999,361
420,0.039999999,0.050000001,0.039999999,1334
422.5,0.039999999,0.050000001,0.039999999,912
425,0.050000001,0.059999999,0.050000001,815
427.5,0.050000001,0.059999999,0.050000001,236
430,0.050000001,0.059999999,0.050000001,1280
432.5,0.050000001,0.059999999,0.050000001,782
435,0.059999999,0.069999993,0.059999999,346
437.5,0.059999999,0.069999993,0.069999993,337
440,0.059999999,0.069999993,0.069999993,469
442.5,0.069999993,0.079999983,0.069999993,379
445,0.069999993,0.079999983,0.069999993,419
447.5,0.079999983,0.090000033,0.079999983,478
450,0.079999983,0.089999974,0.090000033,3589
452.5,0.090000033,0.100000024,0.090000033,699
455,0.090000033,0.099999964,0.100000024,1067
457.5,0.100000024,0.110000014,0.100000024,862
460,0.110000014,0.120000005,0.110000014,3293
462.5,0.110000014,0.120000005,0.120000005,1442
465,0.120000005,0.129999995,0.120000005,1469
467.5,0.129999995,0.139999986,0.139999986,2417
470,0.139999986,0.150000036,0.150000036,4636
472.5,0.150000036,0.160000026,0.160000026,1659
475,0.160000026,0.170000017,0.170000017,2479
477.5,0.170000017,0.189999998,0.180000007,1491
480,0.180000007,0.189999998,0.199999988,5649
482.5,0.199999988,0.209999979,0.199999988,2129
485,0.209999979,0.220000029,0.220000029,2407
487.5,0.230000019,0.25,0.24000001,1810
490,0.25,0.25999999,0.25,2914
492.5,0.270000041,0.290000021,0.280000031,2007
495,0.290000021,0.310000002,0.300000012,4025
497.5,0.319999993,0.340000033,0.330000043,3048
500,0.349999964,0.360000014,0.360000014,8227
502.5,0.370000005,0.400000036,0.389999986,3730
505,0.409999967,0.430000007,0.410000026,5621
507.5,0.460000038,0.470000029,0.460000038,3030
510,0.5,0.50999999,0.50999999,4921
512.5,0.540000021,0.560000002,0.550000012,3494
515,0.600000024,0.620000005,0.600000024,5708
517.5,0.670000017,0.680000007,0.670000017,5364
520,0.730000019,0.75,0.74000001,12982
522.5,0.800000012,0.829999983,0.810000002,5169
525,0.889999986,0.910000026,0.899999976,8174
527.5,1,1.020000458,1,5354
530,1.109999657,1.130000114,1.119999886,10609
532.5,1.239999771,1.260000229,1.25,5223
535,1.390000343,1.409999847,1.399999619,5179
537.5,1.539999962,1.579999924,1.56000042,6581
540,1.739999771,1.770000458,1.75,10709
542.5,1.940000534,1.980000496,1.960000038,4260
545,2.199999809,2.230000496,2.220000267,4409
547.5,2.470000267,2.510000229,2.489999771,2909
550,2.779999733,2.819999695,2.800000191,6072
552.5,3.130000114,3.180000305,3.180000305,3360
555,3.529999733,3.579999924,3.539999962,5173
557.5,3.989999771,4.020000458,4,3714
560,4.5,4.539999962,4.530000687,7627
562.5,5.020000458,5.11000061,5.100000381,8053
565,5.680000305,5.75,5.730000496,6637
567.5,6.380000114,6.460000038,6.460000038,4243
570,7.190000534,7.239999771,7.220000267,5190
572.5,8.050000191,8.130000114,8.090000153,2935
575,9.010000229,9.090000153,9.029999733,2938
577.5,10,10.14999962,10.10000038,1417
580,11.14999962,11.30000019,11.25,2006
582.5,12.39999962,12.55000019,12.5,719
585,13.75,13.89999962,13.85000038,407
587.5,15.25,15.30000019,15.30000019,75
590,16.6499939,17.1499939,16.6499939,140
592.5,18,18.8500061,19.30000305,1
595,19.69999695,20.6499939,20.1000061,1
597.5,21.6000061,22.19999695,23.25,1
600,23.3999939,24.3500061,23.69999695,15
602.5,25.3500061,26.19999695,0,0
605,27.3999939,28.19999695,0,0
607.5,29.44999695,30.30000305,0,0
610,31.6499939,32.25,33,2
612.5,33.75,34.6000061,0,0
615,35.94999695,36.69999695,37.6000061,1
617.5,38.19999695,38.8500061,38.1000061,1
620,40.5,41.1000061,40.55000305,13
622.5,42.8500061,43.44999695,43.25,3
625,45.15000916,45.75,45.19999695,4
627.5,47.40000916,48.40000916,0,0
630,49.8500061,50.8500061,0,0
632.5,52.15000916,53.1000061,0,0
635,54.69999695,55.44999695,0,0
637.5,57,58,0,0
640,59.6000061,60.30000305,60.19999695,1
642.5,62,62.90000916,0,0
645,64.44999695,65.3500061,0,0
647.5,66.90000916,67.80000305,0,0
650,69.40000916,70.1000061,0,1
652.5,71.69999695,72.6000061,0,0
655,74.19999695,75.19999695,0,0
657.5,0,0,0,0
660,0,0,0,0
