Strike,Bid,Ask,Last,Volm
4800,2159.699951,2183.699951,1461.459961,0
4825,2136.300049,2160.300049,1289.810059,0
4850,2112.899902,2136.899902,1300.099976,0
4875,2089.600098,2113.600098,1557.75,0
4900,2066.300049,2090.300049,1060.569946,0
4925,2043,2067,1398.099976,0
4950,2019.800049,2043.800049,1309.920044,0
4975,1996.5,2020.5,1493.790039,0
5000,1973.400024,1997.400024,2042.189941,0
5025,1950.199951,1974.199951,1543.27002,0
5050,1927.099976,1951.099976,1846.369995,0
5075,1904,1928,1199.079956,0
5100,1881,1905,1347.939941,0
5125,1868.199951,1874.300049,1159.849976,0
5150,1845.199951,1851.300049,1228.52002,0
5175,1822.300049,1828.300049,1247.199951,0
5200,1799.400024,1805.400024,1800,0
5225,1776.599976,1782.5,1167.579956,0
5250,1753.800049,1759.699951,1762.839966,0
5275,1731.099976,1736.900024,1593.339966,0
5300,1708.300049,1714.099976,1621.800049,0
5325,1685.699951,1691.400024,1104.869995,0
5350,1663.099976,1668.800049,1014.869995,0
5375,1640.5,1646.199951,948.7299805,0
5400,1618,1623.599976,1681.73999,0
5425,1595.5,1601.099976,924.7199707,0
5450,1573.099976,1578.599976,1275.219971,0
5475,1550.699951,1556.199951,667,0
5500,1528.400024,1533.800049,1512.069946,1
5525,1506.099976,1511.5,1326.530029,0
5550,1483.900024,1489.199951,982.1300049,0
5575,1461.699951,1467,1328.23999,0
5600,1439.599976,1444.900024,1455.040039,0
5625,1417.599976,1422.800049,1284.77002,0
5650,1395.599976,1400.800049,1262.959961,0
5675,1373.699951,1378.800049,1241.949951,0
5700,1351.800049,1356.900024,1336.170044,1
5725,1330,1335,1125.709961,0
5750,1308.300049,1313.199951,1104.199951,0
5775,1286.599976,1291.5,919.039978,0
5800,1265,1269.900024,1200.709961,0
5825,1243.400024,1248.300049,881.8099976,0
5850,1221.900024,1226.699951,1158.329956,0
5875,1200.5,1205.300049,1062.400024,0
5900,1179.199951,1183.900024,1191.150024,0
5925,1157.900024,1162.599976,848.2000122,0
5950,1136.699951,1141.400024,982.2000122,0
5975,1115.599976,1120.199951,1046.630005,0
6000,1094.5,1099.099976,1090.119995,76
6025,1073.599976,1078.099976,914.1099854,0
6050,1052.699951,1057.199951,892.4500122,0
6075,1031.900024,1036.300049,965.8900146,0
6100,1011.200012,1015.599976,859.4000244,0
6125,990.5999756,994.9000244,859.9799805,0
6150,970,974.2999878,970.2999878,0
6175,949.5999756,953.9000244,847.2199707,0
6200,929.2000122,933.5,984.1799927,0
