Strike,Bid,Ask,Last,Volm
4800,3.299999952,3.5,3.5,297
4825,3.400000095,3.599999905,3.5,21
4850,3.5,3.799999952,3.599999905,40
4875,3.599999905,3.900000095,3.700000048,10
4900,3.700000048,4,4,154
4925,3.799999952,4.099999905,4,120
4950,4,4.300000191,4,301
4975,4.099999905,4.400000095,4,0
5000,4.199999809,4.599999905,4.300000191,7682
5025,4.400000095,4.699999809,4.300000191,3
5050,4.5,4.900000095,4.5,25
5075,4.699999809,5,4.599999905,1
5100,4.800000191,5.199999809,4.900000095,75
5125,5,5.300000191,4.900000095,11
5150,5.199999809,5.5,5.199999809,94
5175,5.300000191,5.699999809,5.300000191,18
5200,5.5,5.900000095,5.599999905,493
5225,5.699999809,6.099999905,5.699999809,10
5250,5.900000095,6.300000191,5.900000095,33
5275,6.099999905,6.5,6.199999809,11
5300,6.300000191,6.699999809,6.300000191,148
5325,6.5,6.900000095,6.699999809,564
5350,6.699999809,7.199999809,7,21
5375,7,7.400000095,7.199999809,3
5400,7.199999809,7.699999809,7.599999905,1769
5410,7.300000191,7.800000191,8.350000381,3
5420,7.400000095,7.900000095,7.199999809,1
5425,7.5,7.900000095,7.400000095,436
5430,7.5,8,8,15
5440,7.599999905,8.100000381,8.800000191,57
5450,7.800000191,8.199999809,8,59
5460,7.900000095,8.300000191,8.100000381,162
5470,8,8.5,7.699999809,3
5475,8,8.5,7.800000191,40
5480,8.100000381,8.600000381,8.199999809,4
5490,8.199999809,8.699999809,8.260000229,75
5500,8.300000191,8.800000191,8.199999809,4800
5510,8.399999619,9,8.68999958,156
5520,8.600000381,9.100000381,8.100000381,0
5525,8.600000381,9.100000381,8.020000458,156
5530,8.699999809,9.199999809,9.100000381,29
5540,8.800000191,9.399999619,7.800000191,0
5550,9,9.5,9.199999809,34
5560,9.100000381,9.600000381,8.100000381,0
5570,9.199999809,9.800000191,8.300000191,0
5575,9.300000191,9.800000191,9.699999809,515
5580,9.399999619,9.899999619,9.800000191,18
5590,9.5,10.10000038,9.800000191,17
5600,9.699999809,10.19999981,10,527
5610,9.800000191,10.39999962,10.10000038,33
5620,10,10.5,10.19999981,17
5625,10.10000038,10.60000038,11.10000038,4
5630,10.19999981,10.69999981,9.300000191,0
5640,10.30000019,10.89999962,11.39999962,3
5650,10.5,11,10.63000011,42
5660,10.69999981,11.19999981,10.89999962,15
5670,10.80000019,11.39999962,10.30000019,0
5675,10.89999962,11.5,12,3
5680,11,11.60000038,12.10000038,2
5690,11.19999981,11.80000019,11.30000019,32
5700,11.39999962,11.89999962,11.69999981,502
5710,11.60000038,12.10000038,10.89999962,0
5720,11.80000019,12.30000019,12.89999962,17
5725,11.89999962,12.39999962,13,2
5730,12,12.60000038,12.19999981,15
5740,12.19999981,12.80000019,13.19999981,8
5750,12.39999962,13,12.02000046,1249
5760,12.60000038,13.19999981,12.80000019,25
5770,12.80000019,13.39999962,14,28
5775,13,13.5,13.30000019,16
5780,13.10000038,13.69999981,14.10000038,3
5790,13.30000019,13.89999962,13.39999962,15
5800,13.60000038,14.10000038,13.73999977,1382
5810,13.80000019,14.39999962,15.39999962,4
5820,14,14.60000038,13.81000042,25
5825,14.19999981,14.69999981,14.39999962,8
5830,14.30000019,14.89999962,14.60000038,7
5840,14.5,15.19999981,14.80000019,31
5850,14.80000019,15.39999962,14.84000015,158
5860,15.10000038,15.69999981,14.5,47
5870,15.39999962,16,15.39000034,67
5875,15.5,16.10000038,15.43999958,39
5880,15.69999981,16.29999924,16.62000084,7
5890,16,16.60000038,16.29999924,101
5900,16.29999924,16.89999962,16.60000038,492
5910,16.60000038,17.20000076,16.89999962,7
5920,16.89999962,17.5,18.5,8
5925,17.10000038,17.70000076,17.5,25
5930,17.20000076,17.89999962,16.5,3
5940,17.60000038,18.20000076,19.20000076,11
5950,17.89999962,18.60000038,17.21999931,29
5960,18.29999924,18.89999962,20.10000038,5
5970,18.60000038,19.29999924,16.04999924,0
5975,18.79999924,19.5,18.25,2
5980,19,19.70000076,20.70000076,3
5990,19.39999962,20,21.10000038,23
6000,19.79999924,20.39999962,20.05999947,9903
6010,20.20000076,20.79999924,22,5
6020,20.60000038,21.20000076,19.60000038,2
6025,20.79999924,21.5,22.60000038,8
6030,21,21.70000076,20,3
6040,21.39999962,22.10000038,22.70000076,6
6050,21.89999962,22.5,22.10000038,102
6060,22.29999924,23,23,572
6070,22.79999924,23.5,21.20000076,0
6075,23.10000038,23.70000076,25.10000038,27
6080,23.29999924,24,26.38999939,3
6090,23.79999924,24.39999962,25.39999962,2
6095,24,24.70000076,21.39999962,0
6100,24.29999924,24.89999962,24.10000038,433
6105,24.5,25.20000076,26.20000076,2
6110,24.79999924,25.5,25.5,1
6115,25,25.70000076,22.5,0
6120,25.29999924,26,27,2
6125,25.60000038,26.29999924,21.79999924,2
6130,25.79999924,26.5,27.60000038,11
6135,26.10000038,26.79999924,22.29999924,3
6140,26.39999962,27.10000038,27.20000076,1
6145,26.70000076,27.39999962,28.39999962,2
6150,27,27.70000076,26.5,367
6155,27.29999924,27.89999962,26.02000046,567
6160,27.5,28.20000076,29.29999924,13
6165,27.79999924,28.5,28.70000076,1
6170,28.10000038,28.79999924,30.10000038,2
6175,28.5,29.10000038,28.79999924,5
6180,28.79999924,29.39999962,25.29999924,0
6185,29.10000038,29.70000076,30.89999962,2
6190,29.39999962,30.10000038,30.20000076,1
6195,29.70000076,30.39999962,28.29999924,8
6200,30,30.70000076,30.70000076,1901
6205,30.29999924,31,28.10000038,0
6210,30.70000076,31.39999962,30.79999924,6
6215,31,31.70000076,28.59000015,2
6220,31.29999924,32,33.04999924,342
6225,31.70000076,32.40000153,33.45999908,883
6230,32,32.70000076,33.70000076,6
6235,32.40000153,33.09999847,28.5,0
6240,32.70000076,33.40000153,35,8
6245,33.09999847,33.79999924,37.29999924,25
6250,33.5,34.20000076,32.20000076,877
6255,33.79999924,34.5,38,47
6260,34.20000076,34.90000153,39.29999924,10
6265,34.59999847,35.29999924,36.70000076,2
6270,34.90000153,35.70000076,35.90000153,25
6275,35.40000153,36,35.90000153,27
6280,35.70000076,36.40000153,37.90000153,19
6285,36.09999847,36.79999924,35.65000153,89
6290,36.5,37.20000076,36.79999924,8
6295,36.90000153,37.59999847,35.75,117
6300,37.40000153,38.09999847,34.95999908,1084
6305,37.70000076,38.5,39.70000076,2
6310,38.20000076,38.90000153,35.54999924,0
6315,38.59999847,39.29999924,37,1
6320,39,39.79999924,39.61000061,37
6325,39.5,40.20000076,39.70000076,122
6330,39.90000153,40.59999847,41.09999847,17
6335,40.29999924,41.09999847,38.70000076,8
6340,40.79999924,41.5,43.59999847,4
6345,41.29999924,42,40.99000168,647
6350,41.70000076,42.5,42.47999954,678
6355,42.20000076,42.90000153,44.20000076,3
6360,42.70000076,43.40000153,44.70000076,3
6365,43.09999847,43.90000153,43.20000076,47
6370,43.59999847,44.40000153,42.36000061,58
6375,44.20000076,44.90000153,46.20000076,24
6380,44.59999847,45.40000153,42.29999924,14
6385,45.09999847,45.90000153,47.40000153,5
6390,45.59999847,46.40000153,45.59999847,9
6395,46.20000076,47,48.29999924,13
6400,46.70000076,47.5,47.90000153,1532
6405,47.20000076,48,49.40000153,33
6410,47.79999924,48.59999847,54.70000076,20
6415,48.29999924,49.09999847,50.70000076,15
6420,48.90000153,49.70000076,46.61000061,108
6425,49.5,50.20000076,47.63000107,9
6430,50,50.79999924,52.20000076,4
6435,50.59999847,51.40000153,56.09999847,7
6440,51.09999847,52,58.09999847,5
6445,51.70000076,52.59999847,53.09999847,6
6450,52.40000153,53.20000076,52.47000122,1361
6455,52.90000153,53.79999924,52.90000153,14
6460,53.5,54.40000153,55.90000153,6
6465,54.20000076,55,60,8
6470,54.79999924,55.70000076,57.5,11
6475,55.5,56.29999924,53.79999924,15
6480,56.09999847,57,63.90000153,11
6485,56.70000076,57.59999847,53.81000137,10
6490,57.40000153,58.29999924,60.20000076,7
6495,58.09999847,59,54.70000076,4
6500,58.79999924,59.59999847,58.81999969,3652
6505,59.40000153,60.29999924,57.29000092,3
6510,60.09999847,61,61.70000076,14
6515,60.79999924,61.79999924,58.59000015,1
6520,61.59999847,62.5,65.30000305,6
6525,62.29999924,63.20000076,64.90000153,59
6530,63,64,59.5,22
6535,63.79999924,64.69999695,62,2
6540,64.5,65.5,65.5,51
6545,65.30000305,66.30000305,73.34999847,11
6550,66.09999847,67,63.75999832,292
6555,66.90000153,67.80000305,67.56999969,49
6560,67.69999695,68.59999847,64.44999695,104
6565,68.5,69.5,68.87000275,104
6570,69.30000305,70.30000305,73.30000305,11
6575,70.19999695,71.09999847,70.80000305,184
6580,71,72,68.29000092,101
6585,71.80000305,72.80000305,71.11000061,88
6590,72.69999695,73.69999695,72.04000092,28
6595,73.59999847,74.59999847,73.69999695,0
6600,74.5,75.5,75,1987
6605,75.40000153,76.40000153,74.66999817,180
6610,76.30000305,77.30000305,76.40000153,643
6615,77.19999695,78.30000305,79.63999939,61
6620,78.09999847,79.19999695,74.51000214,482
6625,79.09999847,80.19999695,84.30000305,6
6630,80.09999847,81.19999695,88.87000275,1
6635,81.09999847,82.19999695,77.16999817,1
6640,82.09999847,83.19999695,82.15000153,35
6645,83.09999847,84.19999695,86.5,2
6650,84.09999847,85.19999695,84.29000092,2632
6655,85.09999847,86.30000305,74.87999725,3
6660,86.19999695,87.40000153,84.40000153,2
6665,87.30000305,88.40000153,93,2
6670,88.40000153,89.59999847,86.5,43
6675,89.5,90.69999695,94.37999725,0
6680,90.59999847,91.80000305,89.62000275,33
6685,91.69999695,93,89.09999847,5
6690,92.90000153,94.09999847,104.9499969,8
6695,94.09999847,95.30000305,100.4800034,2
6700,95.30000305,96.5,96.40000153,1456
6705,96.5,97.69999695,106.8799973,12
6710,97.69999695,99,92.55000305,34
6715,98.90000153,100.1999969,101.0800018,6
6720,100.1999969,101.5,97.08999634,11
6725,101.5,102.8000031,109.8799973,14
6730,102.8000031,104.0999985,102.7699966,35
6735,104.0999985,105.4000015,111.7600021,5
6740,105.5,106.8000031,99.26999664,6
6745,106.8000031,108.0999985,112.5,12
6750,108.3000031,109.5,108.3799973,1962
6755,109.5999985,111,103.5,0
6760,111,112.4000015,114.8000031,1
6765,112.5,113.9000015,103.3000031,0
6770,114,115.3000031,113.7699966,62
6775,115.5,116.8000031,119.5199966,3
6780,117,118.4000015,117.5599976,7
6785,118.5,119.9000015,118.2699966,21
6790,120.0999985,121.5,123.9300003,2
6795,121.6999969,123.0999985,114.5,7
6800,123.3000031,124.6999969,126.0999985,2469
6805,124.9000015,126.4000015,138.2700043,2
6810,126.5999985,128.1000061,128.1999969,28
6815,128.3000031,129.8000031,143.1300049,1
6820,130,131.5,123.6399994,16
6825,131.8000031,133.1999969,126.1800003,121
6830,133.5,135,128.8600006,119
6835,135.3000031,136.8000031,138.1000061,45
6840,137.1000061,138.6999969,140,653
6845,139,140.5,154,374
6850,140.8999939,142.3999939,143.6999969,2378
6855,142.8000031,144.3000031,152,900
6860,144.6999969,146.3000031,144.6499939,1116
6865,146.6999969,148.1999969,149,722
6870,148.6999969,150.1999969,151,2316
6875,150.6999969,152.3000031,152.3699951,2148
6880,152.6999969,154.3000031,155.8999939,1845
6885,154.8000031,156.3999939,151.6999969,2322
6890,156.8999939,158.5,160.3000031,3415
